2,
1,
0,
2, initial: 0, 0.41228143344181123
0, initial: 0, 0.5019724984045374
1, initial: 0, 0.40696262819780815
2, initial: 1, 0.4143877007128447
2, initial: 2, 0.3354132463412898
0, initial: 1, 0.36608514694804295
2, initial: 3, 0.3844712656937446
1, initial: 1, 0.3605766845388482
0, initial: 2, 0.3435290447095567
0, initial: 3, 0.2360507421624689
2, initial: 4, 0.6486725813438926
1, initial: 2, 0.322164694365744
0, initial: 4, 0.3993802684327183
1, initial: 3, 0.45774787802549005
2, initial: 5, 0.36939551565819606
0, initial: 5, 0.24718015684941916
1, initial: 4, 0.5230704565277435
2, initial: 6, 0.8338785204147419
0, initial: 6, 0.8167261589710385
2, initial: 7, 0.6806709761374529
1, initial: 5, 0.2419930526564657
0, initial: 7, 0.554865385771366
2, initial: 8, 0.2565586646196124
1, initial: 6, 0.822050038730914
0, initial: 8, 0.2567121195418766
2, initial: 9, 0.6342400496780166
1, initial: 7, 0.576044879119768
0, initial: 9, 0.39833203384831145
2, initial: 10, 0.3601331453877917
0, initial: 10, 0.45219935390105415
2, initial: 11, 0.7611991156988378
1, initial: 8, 0.3161101563960358
0, initial: 11, 0.7423982450163628
1, initial: 9, 0.5397970688600056
2, initial: 12, 0.8583796941203069
0, initial: 12, 0.7122088944718405
1, initial: 10, 0.35457747848379845
2, initial: 13, 0.9
0, initial: 13, 0.824002546335699
1, initial: 11, 0.6816973395826936
2, initial: 14, 0.5387023363618048
0, initial: 14, 0.3805796084324397
1, initial: 12, 0.7482220002218837
2, initial: 15, 0.5044187962841237
0, initial: 15, 0.3968077969709521
2, initial: 16, 0.6068053629347155
1, initial: 13, 0.9
0, initial: 16, 0.5201965352178506
2, initial: 17, 0.3112258658714511
1, initial: 14, 0.47930396293781585
0, initial: 17, 0.11162381413098102
0, initial: 18, 0.5619953369834838
1, initial: 15, 0.5272005255204596
0, initial: 19, 0.5512023767474169
1, initial: 16, 0.5848439353494475
0, initial: 20, 0.39233715612609527
0, initial: 21, 0.7674836844300231
1, initial: 17, 0.2633440546676551
2, initial: 18, 0.49191963192412574
0, initial: 22, 0.4771465431908408
1, initial: 18, 0.4781966244356121
2, initial: 19, 0.5999307726701288
0, initial: 23, 0.6358187029771019
2, initial: 20, 0.5963996574542239
0, initial: 24, 0.5601982708181954
1, initial: 19, 0.6314528578778981
0, initial: 25, 0.1573070166273458
2, initial: 21, 0.8259969302839522
1, initial: 20, 0.45578362120638277
0, initial: 26, 0.48204831223179173
2, initial: 22, 0.4696134913465364
1, initial: 21, 0.6505375931881695
0, initial: 27, 0.4835669552452063
2, initial: 23, 0.7377363536236459
1, initial: 22, 0.4391478129750269
0, initial: 28, 0.7525631717960393
2, initial: 24, 0.6358429487663881
1, initial: 23, 0.6613356363536694
2, initial: 25, 0.2640759528122187
1, initial: 24, 0.6363463660086137
2, initial: 26, 0.47978981584230684
1, initial: 25, 0.2906807705290463
2, initial: 27, 0.5548004098474407
1, initial: 26, 0.46350129145563723
2, initial: 28, 0.9
1, initial: 27, 0.5944764383697971
2, initial: 29, 0.49815862840950575
0, initial: 29, 0.36552294973733623
2, initial: 30, 0.7851377328338695
1, initial: 28, 0.8678104194326731
